DN,Standard,Type,Facing,Bore_mm,Flange_OD_mm,PCD_mm,Bolt_Qty,Bolt_Size,Bolt_Hole_mm,Thickness_mm,Raised_Face_Dia_mm,Slip_In_mm,Weight_kg,Notes
32,EN1092-1 PN16,Slip-On,RF,,140,100,4,M16,18,16,84,10,,seed
40,EN1092-1 PN16,Slip-On,RF,,150,110,4,M16,18,16,92,10,,seed
50,EN1092-1 PN16,Slip-On,RF,,165,125,4,M16,18,18,102,10,,seed
65,EN1092-1 PN16,Slip-On,RF,,185,145,4,M16,18,18,122,10,,seed
80,EN1092-1 PN16,Slip-On,RF,,200,160,8,M16,18,20,138,10,,seed
100,EN1092-1 PN16,Slip-On,RF,,220,180,8,M16,18,20,162,10,,seed
150,EN1092-1 PN16,Slip-On,RF,,285,240,8,M20,22,22,218,10,,seed
200,EN1092-1 PN16,Slip-On,RF,,340,295,12,M20,22,24,274,10,,seed
300,EN1092-1 PN16,Slip-On,RF,,460,410,12,M24,26,28,384,10,,seed
600,EN1092-1 PN16,Slip-On,RF,,780,770,20,M36,39,38,706,10,,seed
