DN,Material,Schedule,OD_mm,Wall_mm,Length_mm,Weight_per_m_kg,Notes
32,Carbon Steel,Sch40,,,,,
40,Carbon Steel,Sch40,,,,,
50,Carbon Steel,Sch40,,,,,
65,Carbon Steel,Sch40,,,,,
80,Carbon Steel,Sch40,,,,,
100,Carbon Steel,Sch40,,,,,
125,Carbon Steel,Sch40,,,,,
150,Carbon Steel,Sch40,,,,,
200,Carbon Steel,Sch40,,,,,
250,Carbon Steel,Sch40,,,,,
300,Carbon Steel,Sch40,,,,,
350,Carbon Steel,Sch40,,,,,
400,Carbon Steel,Sch40,,,,,
450,Carbon Steel,Sch40,,,,,
500,Carbon Steel,Sch40,,,,,
600,Carbon Steel,Sch40,,,,,
32,Stainless Steel,Sch10,,,,,
40,Stainless Steel,Sch10,,,,,
50,Stainless Steel,Sch10,,,,,
65,Stainless Steel,Sch10,,,,,
80,Stainless Steel,Sch10,,,,,
100,Stainless Steel,Sch10,,,,,
125,Stainless Steel,Sch10,,,,,
150,Stainless Steel,Sch10,,,,,
200,Stainless Steel,Sch10,,,,,
250,Stainless Steel,Sch10,,,,,
300,Stainless Steel,Sch10,,,,,
350,Stainless Steel,Sch10,,,,,
400,Stainless Steel,Sch10,,,,,
450,Stainless Steel,Sch10,,,,,
500,Stainless Steel,Sch10,,,,,
600,Stainless Steel,Sch10,,,,,
